100000	0.9	Ebola	0.25	10
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109b8e3c8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109cf8b00>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a272198>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10990c048>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1098df668>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a23c7b8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109f94940>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109ddcb38>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a2a5898>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1091ef828>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109cdacf8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a056320>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109af0da0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10991be10>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109d3c978>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10999f320>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10942b6d8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a1bad30>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c58550>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a2b4940>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109ba9f98>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1092fa2e8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10931e4a8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109e0f780>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109b6f9b0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109926400>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a242470>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109933860>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c2e208>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a1d32b0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c1e6d8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a02c780>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a391160>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109e68978>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109a41e80>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a25a160>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109271588>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1095b4160>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10997aac8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a18ec50>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a130e80>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10920d400>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1098d2f28>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109ad9470>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c15f28>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109f43a90>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109d4e630>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a141f98>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109337d68>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10925c860>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109bc3a20>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109dc5b38>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109ffce10>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109f7ca58>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1098d06d8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10920abe0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10971abe0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109eef518>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a0b0b70>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109dfac88>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109ccebe0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109ef29e8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109bb1e48>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10936d0f0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109f01ba8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109253b38>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109786390>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10929b748>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a29fd68>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10949b4e0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1094170b8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10999c588>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a501748>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109ef21d0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a0f6390>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109d12c50>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109d9bc18>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1093ede10>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1093ed908>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1095ed748>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a1176d8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109c9d828>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109648390>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1093a8be0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109fcfb00>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109bd37b8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a07a470>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109edd278>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10990fb38>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a296cc0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a04a6d8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109762dd8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a1d9080>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109c17da0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a387470>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1092f83c8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109bc17f0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10938bda0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a032860>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1096c00f0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a2b6128>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1092432e8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1095ff3c8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10989a3c8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a068cf8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109a013c8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a233cc0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1093c3e80>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109ff1978>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a421278>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109a705c0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109cce860>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a0f1c50>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109e81a20>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109e92c50>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10990f390>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1095ea710>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a1f4f60>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109771978>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1091f56d8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109c9d240>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a0cc908>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109870278>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10949ebe0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109f9a828>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1098700b8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109df7eb8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10996e710>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a102d68>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109b7f1d0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a014fd0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10929d5c0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a182748>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109fed048>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10975c0b8>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a39aef0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x10a017b38>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1095c6240>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x1092408d0>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x108ea6748>	False	True	None
<person.Person object at 0x10927f320>	<person.Person object at 0x109c12fd0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10988b3c8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3a6198>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109d0d4a8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a0e5ac8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109bf06d8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1096c6518>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109271f98>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109f976d8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109e57cc0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1097356d8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092533c8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109f01160>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1ac208>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10987ccf8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1f7b38>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a008ef0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109ea4f28>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109741240>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109f617b8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1096937b8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092b0400>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109614a90>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109526748>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10986dda0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092f4588>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092df8d0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109a62ba8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109de2048>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109309630>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1a5198>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109d63940>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a130be0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1093a82b0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109bb57f0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109d87cc0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109939550>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1095ed898>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109837b38>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3d9a20>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109aa7240>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a28c400>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109ab8eb8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1093aee48>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109bac2b0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109a4d208>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109a53ba8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1ba320>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109611978>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1095f9a58>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109a6bb00>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1094ad4a8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a0415f8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10954cd30>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092ef7b8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3e2588>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3d9da0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092c5be0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109c000f0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109bcf0f0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109d12390>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109849a58>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109e4ae48>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1027f0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1098dc358>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109243860>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1099b4898>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1098b5940>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3ee908>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1098c7a58>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1098f1630>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1096b7908>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10931bba8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1098a0a90>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1095d5390>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a2a5080>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1092e35f8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a2696a0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a1829b0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1095def28>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109e63dd8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x1099e8f60>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a041eb8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109309828>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a3c46a0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109e12ac8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109e0f0b8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10a020438>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109ce60b8>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x109ebcfd0>	False	True	None
<person.Person object at 0x1093512b0>	<person.Person object at 0x10998a128>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a3a83c8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109993630>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10983da20>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a4f1cf8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1091f8be0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10935a320>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1098a0940>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109d63518>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109e98be0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109b21048>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109fcc748>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1097e6eb8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109df1240>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a1c4160>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1097e6e10>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109acb4e0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1093cc198>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x108ea6780>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a2ae2b0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1092bca90>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1098fa898>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1099df470>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1095c9278>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1096c62e8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a3c4e80>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a1150f0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1093194e0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109720da0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a077cc0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109549ac8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109762cc0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1092a75c0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a27ba90>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109ed52e8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109d2a9b0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109a80438>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1095ab438>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1093cf588>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a10f080>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109711da0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a281ac8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10928bc18>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109a46eb8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a38b710>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1092946a0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a503a90>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a3d65c0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1097ef438>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10951c8d0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a22a278>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109822780>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1091e30f0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109c39588>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109de5a58>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109921e48>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a1dc2b0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109201908>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1099658d0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1099dc358>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109bc1908>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109ed53c8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10936dcc0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109eecfd0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109f5bcf8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109da6ba8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a1ca358>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10951c630>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a032c50>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1095e1b38>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a251a90>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1093b7cc0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109feaef0>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x109987400>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x10a0082e8>	False	True	None
<person.Person object at 0x109402e48>	<person.Person object at 0x1099b7a20>	False	True	None
